datum,sales
1/31/2016,46.01
02-07-2016,51.66
2/14/2016,33.83
2/21/2016,38.67
2/28/2016,42.65
03-06-2016,38.16
3/13/2016,28.83
3/20/2016,42.64
3/27/2016,35.5
04-03-2016,38.18
04-10-2016,47.66
4/17/2016,27.66
4/24/2016,32.98
05-01-2016,38.64
05-08-2016,35.32
5/15/2016,34.34
5/22/2016,28.68
5/29/2016,59.68
06-05-2016,41.67
06-12-2016,55.99
6/19/2016,28.67
6/26/2016,34.35
07-03-2016,33.66
07-10-2016,41.34
7/17/2016,41.89833333
7/24/2016,39.65
7/31/2016,56.31
08-07-2016,53.99
8/14/2016,53.34
8/21/2016,43.98
8/28/2016,40.16
09-04-2016,47.66
09-11-2016,32.63
9/18/2016,37.66
9/25/2016,33.67
10-02-2016,65.33
10-09-2016,36.35
10/16/2016,41.65
10/23/2016,38.96
10/30/2016,42.81
11-06-2016,34.98666667
11/13/2016,46.33
11/20/2016,37.66
11/27/2016,37.02
12-04-2016,34.18
12-11-2016,41.85
12/18/2016,35.14
12/25/2016,26
01-01-2017,49.20375
01-08-2017,33.6875
1/15/2017,48.74583333
1/22/2017,39.45416667
1/29/2017,43.97083333
02-05-2017,54.1575
02-12-2017,47.3225
2/19/2017,27.33
2/26/2017,32.67
03-05-2017,46.35
03-12-2017,37.51
3/19/2017,33.99
3/26/2017,36.83
04-02-2017,28.18
04-09-2017,32.66
4/16/2017,48.66
4/23/2017,32.3
4/30/2017,32.99
05-07-2017,25.34
5/14/2017,38.98
5/21/2017,31.67
5/28/2017,32.33
06-04-2017,31.01
06-11-2017,30.49
6/18/2017,21.66
6/25/2017,28.16
07-02-2017,34.68
07-09-2017,35.49
7/16/2017,27.67
7/23/2017,41.83
7/30/2017,29.635
08-06-2017,41.66
8/13/2017,20.01
8/20/2017,35.82
8/27/2017,40.65
09-03-2017,55.86
09-10-2017,38.17
9/17/2017,27
9/24/2017,39.98
10-01-2017,20.67
10-08-2017,32.66
10/15/2017,33.67
10/22/2017,29.5
10/29/2017,31.98
11-05-2017,29.5
11-12-2017,40.52
11/19/2017,35.32
11/26/2017,45.99
12-03-2017,38.34
12-10-2017,27.01
12/17/2017,38.51
12/24/2017,24.33
12/31/2017,50.17
01-07-2018,28.33
1/14/2018,34.48
1/21/2018,36.65
1/28/2018,25.83
02-04-2018,26.98
02-11-2018,42.18
2/18/2018,31.51
2/25/2018,29.35
03-04-2018,19.33
03-11-2018,36.65
3/18/2018,31.33
3/25/2018,28.01
04-01-2018,43
04-08-2018,38.85
4/15/2018,38.83
4/22/2018,29.84
4/29/2018,50.67
05-06-2018,29.01
5/13/2018,53.82
5/20/2018,27.69
5/27/2018,31.16
06-03-2018,49.17
06-10-2018,30.32
6/17/2018,31.52
6/24/2018,27.51
07-01-2018,28.5
07-08-2018,30.99
7/15/2018,33.67
7/22/2018,33.66
7/29/2018,39.53
08-05-2018,26.34
08-12-2018,38.65
8/19/2018,31.32
8/26/2018,35.34
09-02-2018,27.7
09-09-2018,34.16
9/16/2018,40.16
9/23/2018,33.34
9/30/2018,36.84
10-07-2018,30.52
10/14/2018,32.66
10/21/2018,32.85
10/28/2018,32
11-04-2018,46.65
11-11-2018,39.99
11/18/2018,37.34
11/25/2018,43.33
12-02-2018,31.83
12-09-2018,23.49
12/16/2018,23.34
12/23/2018,37.68
12/30/2018,45.03
01-06-2019,41
1/13/2019,35.66
1/20/2019,51.19
1/27/2019,38.35
02-03-2019,52.18
02-10-2019,32.35
2/17/2019,35.01
2/24/2019,22.35
03-03-2019,26.68
03-10-2019,30.51
3/17/2019,43.51
3/24/2019,35.99
3/31/2019,31.17
04-07-2019,36.19
4/14/2019,30.33
4/21/2019,29.84
4/28/2019,57.7
05-05-2019,31.36
05-12-2019,36.35
5/19/2019,40
5/26/2019,42.17
06-02-2019,32.49
06-09-2019,37.67
6/16/2019,37.2
6/23/2019,35.66
6/30/2019,34.01
07-07-2019,34.65
7/14/2019,44
7/21/2019,47.33
7/28/2019,36.52
08-04-2019,44.01
08-11-2019,40.99
8/18/2019,45.18
8/25/2019,41.87
09-01-2019,30.36
09-08-2019,40.71
9/15/2019,35.51
9/22/2019,46.84
9/29/2019,34.01
10-06-2019,38.7
10/13/2019,7.67
